humanizer-pro — phase 6b Arabic fixture score table
generated by: node skills/humanizer-pro/scripts/detect.js <fixture> --markdown --json --variety <variety>
thresholds: HUMAN < 25, MIXED 25-54, AI >= 55

file                                                     variety  class            score  label
-------------------------------------------------------  -------  ---------------  -----  -----
tests/fixtures/ar-msa/ai-01.md                           msa      ai-style         100    AI
tests/fixtures/ar-msa/ai-02.md                           msa      ai-style         98     AI
tests/fixtures/ar-msa/ai-03.md                           msa      ai-style         100    AI
tests/fixtures/ar-msa/ai-04.md                           msa      ai-style         100    AI
tests/fixtures/ar-msa/ai-05.md                           msa      ai-style         100    AI
tests/fixtures/ar-msa/human-01.md                        msa      synthetic-human  0      HUMAN
tests/fixtures/ar-msa/human-02.md                        msa      synthetic-human  0      HUMAN
tests/fixtures/ar-msa/human-03.md                        msa      synthetic-human  0      HUMAN
tests/fixtures/ar-msa/human-04.md                        msa      synthetic-human  0      HUMAN
tests/fixtures/ar-msa/human-05.md                        msa      synthetic-human  0      HUMAN
tests/fixtures/ar-egt/ai-01.md                           egt      ai-style         100    AI
tests/fixtures/ar-egt/ai-02.md                           egt      ai-style         100    AI
tests/fixtures/ar-egt/ai-03.md                           egt      ai-style         100    AI
tests/fixtures/ar-egt/ai-04.md                           egt      ai-style         100    AI
tests/fixtures/ar-egt/ai-05.md                           egt      ai-style         100    AI
tests/fixtures/ar-egt/human-01.md                        egt      synthetic-human  0      HUMAN
tests/fixtures/ar-egt/human-02.md                        egt      synthetic-human  0      HUMAN
tests/fixtures/ar-egt/human-03.md                        egt      synthetic-human  0      HUMAN
tests/fixtures/ar-egt/human-04.md                        egt      synthetic-human  0      HUMAN
tests/fixtures/ar-egt/human-05.md                        egt      synthetic-human  0      HUMAN
tests/fixtures/ar-shami/ai-01.md                         shami    ai-style         100    AI
tests/fixtures/ar-shami/ai-02.md                         shami    ai-style         100    AI
tests/fixtures/ar-shami/ai-03.md                         shami    ai-style         93     AI
tests/fixtures/ar-shami/ai-04.md                         shami    ai-style         100    AI
tests/fixtures/ar-shami/ai-05.md                         shami    ai-style         100    AI
tests/fixtures/ar-shami/human-01.md                      shami    synthetic-human  0      HUMAN
tests/fixtures/ar-shami/human-02.md                      shami    synthetic-human  0      HUMAN
tests/fixtures/ar-shami/human-03.md                      shami    synthetic-human  0      HUMAN
tests/fixtures/ar-shami/human-04.md                      shami    synthetic-human  0      HUMAN
tests/fixtures/ar-shami/human-05.md                      shami    synthetic-human  0      HUMAN
tests/fixtures/false-positives/ar-changelog-list.md      msa      false-positive   0      HUMAN
tests/fixtures/false-positives/ar-quoted-speech.md       msa      false-positive   0      HUMAN
tests/fixtures/false-positives/ar-rhetorical-egt.md      egt      false-positive   0      HUMAN
tests/fixtures/false-positives/ar-rhetorical-msa.md      msa      false-positive   0      HUMAN
tests/fixtures/false-positives/ar-technical-en-terms.md  msa      false-positive   14     HUMAN

ai-style:                min 93  max 100  (n=15)
human + false-positive:  min 0  max 14  (n=20)
